iter	Passed	Remaining
455	839	1001
456	841	999
457	843	997
458	844	995
459	846	993
460	848	992
461	849	989
462	851	987
463	852	984
464	853	981
465	854	979
466	855	976
467	856	973
468	858	971
469	859	968
470	860	966
471	861	964
472	863	961
473	863	958
474	865	956
475	866	953
476	867	950
477	868	948
478	869	945
479	870	943
480	871	940
481	872	938
482	873	935
483	875	933
484	876	931
485	878	928
486	879	926
487	880	923
488	881	921
489	883	919
490	884	916
491	885	913
492	886	911
493	887	908
494	888	906
495	889	904
496	891	901
497	892	899
498	893	896
499	894	894
500	895	891
501	896	889
502	897	886
503	898	884
504	899	882
505	901	879
506	902	877
507	903	874
508	904	872
509	906	870
510	907	868
511	908	865
512	909	863
513	910	860
514	911	858
515	912	856
516	913	853
517	914	851
518	916	848
519	917	846
520	918	844
521	919	842
522	920	839
523	922	837
524	923	835
525	924	832
526	925	830
527	926	828
528	927	825
529	928	823
530	929	821
531	931	819
532	932	816
533	933	814
534	935	812
535	936	810
536	937	808
537	939	806
538	940	804
539	941	802
540	943	800
541	944	797
542	945	795
543	946	793
544	948	791
545	949	789
546	951	787
547	952	785
548	953	783
549	954	780
550	955	778
551	956	776
552	957	774
553	958	771
554	960	769
555	961	767
556	962	765
557	963	763
558	964	761
559	966	759
560	967	757
561	968	755
562	970	752
563	971	750
564	972	748
565	973	746
566	974	744
567	975	742
568	977	740
569	978	737
570	979	735
571	980	733
572	981	731
573	983	729
574	984	727
575	985	725
576	986	723
577	987	721
578	989	719
579	990	717
580	991	714
581	992	712
582	993	710
583	995	708
584	996	706
585	997	704
586	998	702
587	999	700
588	1000	698
589	1001	696
590	1003	694
591	1004	692
592	1005	689
593	1006	687
594	1007	685
595	1008	683
596	1010	681
597	1011	679
598	1012	677
599	1013	675
600	1014	673
601	1015	671
602	1016	669
603	1017	667
604	1019	665
605	1020	663
606	1021	661
607	1022	659
608	1023	657
609	1025	655
610	1026	653
611	1027	651
612	1028	649
613	1029	647
614	1030	645
615	1031	643
616	1032	641
617	1034	639
618	1035	637
619	1036	635
620	1037	633
621	1038	631
622	1040	629
623	1041	627
624	1042	625
625	1043	623
626	1044	621
627	1045	619
628	1046	617
629	1048	615
630	1049	613
631	1050	611
632	1051	609
633	1052	607
634	1053	605
635	1054	603
636	1056	601
637	1057	599
638	1058	597
639	1059	595
640	1060	593
641	1061	591
642	1062	589
643	1063	587
644	1064	586
645	1065	584
646	1067	582
647	1068	580
648	1069	578
649	1070	576
650	1072	574
651	1073	572
652	1074	571
653	1075	569
654	1076	567
655	1077	565
656	1079	563
657	1080	561
658	1081	559
659	1082	557
660	1083	555
661	1085	554
662	1086	552
663	1087	550
664	1088	548
665	1089	546
666	1090	544
667	1091	542
668	1092	540
669	1094	538
670	1095	537
671	1096	535
672	1097	533
673	1099	531
674	1100	529
675	1101	527
676	1102	525
677	1103	524
678	1104	522
679	1105	520
680	1106	518
681	1107	516
682	1109	514
683	1110	512
684	1111	511
685	1113	509
686	1114	507
687	1115	505
688	1116	503
689	1117	502
690	1118	500
691	1119	498
692	1120	496
693	1121	494
694	1123	492
695	1124	491
696	1125	489
697	1126	487
698	1128	485
699	1129	483
700	1130	482
701	1131	480
702	1132	478
703	1133	476
704	1134	474
705	1136	473
706	1137	471
707	1138	469
708	1139	467
709	1140	465
710	1142	464
711	1143	462
712	1144	460
713	1145	458
714	1146	457
715	1147	455
716	1149	453
717	1150	451
718	1151	449
719	1152	448
720	1153	446
721	1154	444
722	1155	442
723	1157	441
724	1158	439
725	1159	437
726	1161	436
727	1162	434
728	1163	432
729	1165	430
730	1166	429
731	1167	427
732	1168	425
733	1169	423
734	1170	422
735	1172	420
736	1173	418
737	1174	417
738	1175	415
739	1177	413
740	1178	411
741	1179	410
742	1180	408
743	1181	406
744	1183	404
745	1184	403
746	1185	401
747	1186	399
748	1187	398
749	1189	396
750	1190	394
751	1191	392
752	1192	391
753	1193	389
754	1194	387
755	1195	386
756	1197	384
757	1198	382
758	1199	380
759	1200	379
760	1202	377
761	1203	375
762	1204	374
763	1205	372
764	1206	370
765	1208	369
766	1209	367
767	1210	365
768	1211	363
769	1212	362
770	1213	360
771	1214	358
772	1216	357
773	1217	355
774	1218	353
775	1219	352
776	1220	350
777	1221	348
778	1223	346
779	1224	345
780	1225	343
781	1226	341
782	1227	340
783	1228	338
784	1229	336
785	1231	335
786	1232	333
787	1233	331
788	1234	330
789	1235	328
790	1236	326
791	1237	325
792	1239	323
793	1240	321
794	1241	320
795	1242	318
796	1243	316
797	1244	315
798	1246	313
799	1247	311
800	1248	310
801	1250	308
802	1251	307
803	1252	305
804	1253	303
805	1255	302
806	1256	300
807	1257	298
808	1258	297
809	1260	295
810	1261	294
811	1262	292
812	1263	290
813	1264	289
814	1266	287
815	1267	285
816	1268	284
817	1269	282
818	1270	280
819	1271	279
820	1272	277
821	1273	275
822	1275	274
823	1276	272
824	1277	271
825	1278	269
826	1280	267
827	1281	266
828	1282	264
829	1283	262
830	1284	261
831	1285	259
832	1286	258
833	1287	256
834	1289	254
835	1290	253
836	1291	251
837	1292	249
838	1293	248
839	1294	246
840	1296	245
841	1297	243
842	1298	241
843	1299	240
844	1300	238
845	1301	236
846	1303	235
847	1304	233
848	1305	232
849	1306	230
850	1308	229
851	1309	227
852	1310	225
853	1311	224
854	1312	222
855	1313	220
856	1314	219
857	1315	217
858	1316	216
859	1318	214
860	1319	212
861	1320	211
862	1321	209
863	1323	208
864	1324	206
865	1325	205
866	1326	203
867	1327	201
868	1328	200
869	1329	198
870	1330	197
871	1331	195
872	1332	193
873	1334	192
874	1335	190
875	1337	189
876	1338	187
877	1339	186
878	1340	184
879	1341	182
880	1342	181
881	1343	179
882	1345	178
883	1346	176
884	1347	175
885	1348	173
886	1350	171
887	1351	170
888	1352	168
889	1353	167
890	1355	165
891	1356	164
892	1357	162
893	1358	161
894	1359	159
895	1360	157
896	1361	156
897	1363	154
898	1364	153
899	1365	151
900	1366	150
901	1367	148
902	1369	147
903	1370	145
904	1371	143
905	1372	142
906	1373	140
907	1374	139
908	1375	137
909	1376	136
910	1377	134
911	1379	133
912	1380	131
913	1381	130
914	1382	128
915	1384	126
916	1385	125
917	1386	123
918	1387	122
919	1388	120
920	1389	119
921	1390	117
922	1391	116
923	1393	114
924	1394	113
925	1395	111
926	1396	109
927	1397	108
928	1398	106
929	1399	105
930	1401	103
931	1402	102
932	1403	100
933	1404	99
934	1405	97
935	1406	96
936	1408	94
937	1409	93
938	1410	91
939	1411	90
940	1412	88
941	1414	87
942	1415	85
943	1416	84
944	1417	82
945	1418	80
946	1419	79
947	1420	77
948	1422	76
949	1423	74
950	1425	73
951	1426	71
952	1427	70
953	1428	68
954	1429	67
955	1430	65
956	1431	64
957	1432	62
958	1434	61
959	1435	59
960	1436	58
961	1438	56
962	1439	55
963	1440	53
964	1442	52
965	1443	50
966	1444	49
967	1445	47
968	1446	46
969	1447	44
970	1449	43
971	1450	41
972	1451	40
973	1452	38
974	1454	37
975	1455	35
976	1456	34
977	1457	32
